run_id,entry_pc,step,pc,space,addr,value,previous_value,access_type,role_candidate,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,124,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,127,0x4155,sfr,0x0082,0x60,0x58,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,129,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,130,0x415B,sfr,0x0083,0x0C,0x0B,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,133,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,134,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,137,0x4155,sfr,0x0082,0x68,0x60,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,139,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,140,0x415B,sfr,0x0083,0x0D,0x0C,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,143,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,144,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,147,0x4155,sfr,0x0082,0x70,0x68,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,149,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,150,0x415B,sfr,0x0083,0x0E,0x0D,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,153,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,154,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,157,0x4155,sfr,0x0082,0x78,0x70,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,159,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,160,0x415B,sfr,0x0083,0x0F,0x0E,write,DPH,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,163,0x4113,sfr,0x00D0,0x80,0x00,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,164,0x4119,sfr,0x00D0,0x80,0x80,write,PSW,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,167,0x4155,sfr,0x0082,0x80,0x78,write,DPL,emulation_observed,low,boot_init_candidate
boot_4000_20260428T082556Z,0x4000,169,0x4159,sfr,0x00D0,0x00,0x80,write,PSW,emulation_observed,low,boot_init_candidate
