run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,nearby_code_context,evidence_level,confidence,notes
boot_4000_20260428T082556Z,0x4000,120,0x415B,write,sfr,0x0083,0x0B,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,123,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,124,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,127,0x4155,write,sfr,0x0082,0x60,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,129,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,130,0x415B,write,sfr,0x0083,0x0C,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,133,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,134,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,137,0x4155,write,sfr,0x0082,0x68,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,139,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,140,0x415B,write,sfr,0x0083,0x0D,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,143,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,144,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,147,0x4155,write,sfr,0x0082,0x70,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,149,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,150,0x415B,write,sfr,0x0083,0x0E,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,153,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,154,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,157,0x4155,write,sfr,0x0082,0x78,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,159,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,160,0x415B,write,sfr,0x0083,0x0F,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,163,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,164,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,167,0x4155,write,sfr,0x0082,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,169,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,170,0x415B,write,sfr,0x0083,0x10,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,173,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,174,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,177,0x4155,write,sfr,0x0082,0x88,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,179,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,180,0x415B,write,sfr,0x0083,0x11,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,183,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,184,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,187,0x4155,write,sfr,0x0082,0x90,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,189,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,190,0x415B,write,sfr,0x0083,0x12,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,193,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,194,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,197,0x4155,write,sfr,0x0082,0x98,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,199,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,200,0x415B,write,sfr,0x0083,0x13,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,203,0x4113,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,204,0x4119,write,sfr,0x00D0,0x80,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,207,0x4155,write,sfr,0x0082,0xA0,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,209,0x4159,write,sfr,0x00D0,0x00,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
boot_4000_20260428T082556Z,0x4000,210,0x415B,write,sfr,0x0083,0x14,cpu_internal_sfr,register_state_update,emulation_observed,high,internal_8051_sfr_not_display_evidence
