run_id,entry_pc,step,pc,access_type,space,addr,value,role_candidate,branch_dependency,evidence_level,confidence,notes
boot_4000_20260428T080929Z,0x4000,746,0x4153,read,sfr,0x0082,0x48,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,749,0x4159,read,sfr,0x0083,0x49,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,756,0x4153,read,sfr,0x0082,0x50,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,759,0x4159,read,sfr,0x0083,0x4A,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,766,0x4153,read,sfr,0x0082,0x58,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,769,0x4159,read,sfr,0x0083,0x4B,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,776,0x4153,read,sfr,0x0082,0x60,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,779,0x4159,read,sfr,0x0083,0x4C,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,786,0x4153,read,sfr,0x0082,0x68,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,789,0x4159,read,sfr,0x0083,0x4D,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,796,0x4153,read,sfr,0x0082,0x70,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,799,0x4159,read,sfr,0x0083,0x4E,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,806,0x4153,read,sfr,0x0082,0x78,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,809,0x4159,read,sfr,0x0083,0x4F,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,816,0x4153,read,sfr,0x0082,0x80,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,819,0x4159,read,sfr,0x0083,0x50,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,826,0x4153,read,sfr,0x0082,0x88,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,829,0x4159,read,sfr,0x0083,0x51,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,836,0x4153,read,sfr,0x0082,0x90,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,839,0x4159,read,sfr,0x0083,0x52,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,846,0x4153,read,sfr,0x0082,0x98,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,849,0x4159,read,sfr,0x0083,0x53,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,856,0x4153,read,sfr,0x0082,0xA0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,859,0x4159,read,sfr,0x0083,0x54,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,866,0x4153,read,sfr,0x0082,0xA8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,869,0x4159,read,sfr,0x0083,0x55,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,876,0x4153,read,sfr,0x0082,0xB0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,879,0x4159,read,sfr,0x0083,0x56,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,886,0x4153,read,sfr,0x0082,0xB8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,889,0x4159,read,sfr,0x0083,0x57,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,896,0x4153,read,sfr,0x0082,0xC0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,899,0x4159,read,sfr,0x0083,0x58,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,906,0x4153,read,sfr,0x0082,0xC8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,909,0x4159,read,sfr,0x0083,0x59,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,916,0x4153,read,sfr,0x0082,0xD0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,919,0x4159,read,sfr,0x0083,0x5A,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,926,0x4153,read,sfr,0x0082,0xD8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,929,0x4159,read,sfr,0x0083,0x5B,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,936,0x4153,read,sfr,0x0082,0xE0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,939,0x4159,read,sfr,0x0083,0x5C,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,946,0x4153,read,sfr,0x0082,0xE8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,949,0x4159,read,sfr,0x0083,0x5D,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,956,0x4153,read,sfr,0x0082,0xF0,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,959,0x4159,read,sfr,0x0083,0x5E,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,966,0x4153,read,sfr,0x0082,0xF8,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,969,0x4159,read,sfr,0x0083,0x5F,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,976,0x4153,read,sfr,0x0082,0x00,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,979,0x4159,read,sfr,0x0083,0x60,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,986,0x4153,read,sfr,0x0082,0x08,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,989,0x4159,read,sfr,0x0083,0x61,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,996,0x4153,read,sfr,0x0082,0x10,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,999,0x4159,read,sfr,0x0083,0x62,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,1006,0x4153,read,sfr,0x0082,0x18,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
boot_4000_20260428T080929Z,0x4000,1009,0x4159,read,sfr,0x0083,0x63,unknown_input_candidate,,emulation_observed,low,port_like_sfr_read
