branch,file,function_addr,code_addr,candidate_type,score,confidence,zone_state_candidate,mode_candidate,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73C6,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+10,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73CF,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x0F",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73D9,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+11,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73E2,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x0F",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73E8,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x03",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x73F4,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R7,#0x08,-55",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7400,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+18,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x740C,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7415,zone_state_candidate,4.000,hypothesis,unknown,unknown,CJNE,"R2,#0x08,-28",,,1,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7424,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+28,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7434,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7436,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7440,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-15",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x744D,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+28,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x745D,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x01",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x745F,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+6,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x7469,zone_state_candidate,3.000,hypothesis,unknown,unknown,DJNZ,"R3,-15",,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x747C,zone_state_candidate,3.000,hypothesis,unknown,unknown,JZ,+1,,,0,0,1,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
90CYE_DKS,90CYE03_19_DKS.PZU,0x737C,0x749F,zone_state_candidate,4.000,hypothesis,unknown,unknown,ANL,"A,#0x10",,,1,1,0,0,0x597F;0x5A7F;0x5AA3;0x74C0;0x848E;0x84A6,priority functions
