branch,file,function_addr,code_addr,state_candidate,score,confidence,mnemonic,operands,xdata_addr,xdata_access_type,constant_hits,bit_operation_hits,conditional_branch_hits,string_marker_hits,related_calls,notes
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5696,unknown_sensor_state,3.000,hypothesis,JZ,+11,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56A4,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-24",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56DE,unknown_sensor_state,3.000,hypothesis,JB,"0xE0,+27",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x56EA,unknown_sensor_state,3.000,hypothesis,DJNZ,"R3,-4",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5706,unknown_sensor_state,4.000,hypothesis,CJNE,"A,#0x05,+2",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5729,unknown_sensor_state,3.000,hypothesis,JB,"0xE0,+2",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5733,unknown_sensor_state,3.000,hypothesis,DJNZ,"R3,-32",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5736,unknown_sensor_state,3.000,hypothesis,JNB,"0xE0,+3",,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5748,unknown_sensor_state,3.000,hypothesis,JZ,+27,,,0,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
90CYE_DKS,90CYE03_19_DKS.PZU,0x497A,0x5766,unknown_sensor_state,4.000,hypothesis,CJNE,"R0,#0x08,-40",,,1,0,1,0,0x5935;0x594B;0x59A0;0x5A7F;0x5AA3;0x5D13;0x5D22;0x60E4,focused 90CYE_DKS trace
