file,target_function,direction,neighbor_function,call_addr,call_type,neighbor_role_candidate,neighbor_basic_block_count,neighbor_internal_block_count,neighbor_xdata_read_count,neighbor_xdata_write_count,neighbor_movc_count,packet_xdata_hits,queue_hits,selector_hits,snapshot_hits,object_table_hits,confidence,notes
A04_28.PZU,0x889F,conditional_branch,0x8975,0x8966,conditional_branch,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,fallthrough=0x8969; parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,incoming,0xB310,0xB445,LCALL,dispatcher_or_router,21,20,13,0,0,4,0,0,0,0,high,caller->target LCALL; aux_hits=0x32A0; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x8906,0x88DB,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,hypothesis,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x8906,0x88F9,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x897B,0x8914,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x8975,0x8925,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x897B,0x892A,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x897B,0x893F,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x897B,0x8954,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,internal_jump,0x897B,0x8969,SJMP,unknown,0,0,0,0,0,0,0,0,0,0,unknown,parent=0x889F; checksum_like=unknown
A04_28.PZU,0x889F,outgoing,0x8989,0x8914,LCALL,unknown,1,0,0,0,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A04_28.PZU,0x889F,outgoing,0x8999,0x892A,LCALL,unknown,1,0,0,0,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A04_28.PZU,0x889F,outgoing,0x89B1,0x893F,LCALL,unknown,1,0,0,0,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A04_28.PZU,0x889F,outgoing,0x89C9,0x8954,LCALL,unknown,1,0,1,1,0,1,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A04_28.PZU,0x889F,outgoing,0x89DD,0x8969,LCALL,unknown,1,0,0,0,0,0,0,0,0,0,high,target->callee LCALL; checksum_like=unknown
A04_28.PZU,0x889F,target,0x889F,0x889F,self,dispatcher_or_router,34,33,15,2,0,2,8,4,0,0,high,"target node; aux_hits=0x32A0,0x32A1,0x4DAC,0x500C,0x500D; checksum_like=unknown"
