file,branch,code_addr,call_type,target_addr
A04_28.PZU,A03_A04,0x8F88,LJMP,0x670C
A04_28.PZU,A03_A04,0x8F8C,LCALL,0x9220
A04_28.PZU,A03_A04,0x8F94,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8F9E,LCALL,0x6868
A04_28.PZU,A03_A04,0x8FAA,LCALL,0x93F7
A04_28.PZU,A03_A04,0x8FB3,LJMP,0x66C0
A04_28.PZU,A03_A04,0x8FB7,LCALL,0x918A
A04_28.PZU,A03_A04,0x8FBE,LCALL,0x6865
A04_28.PZU,A03_A04,0x8FC6,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8FD1,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8FD4,LCALL,0x67E4
A04_28.PZU,A03_A04,0x8FDA,LCALL,0x93C4
A04_28.PZU,A03_A04,0x8FE6,LCALL,0x6C07
A04_28.PZU,A03_A04,0x8FF5,LJMP,0x66FC
A04_28.PZU,A03_A04,0x8FFC,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9005,LCALL,0x6C06
A04_28.PZU,A03_A04,0x900C,LCALL,0x93D1
A04_28.PZU,A03_A04,0x901C,LCALL,0x68A6
A04_28.PZU,A03_A04,0x9028,LCALL,0x6C07
A04_28.PZU,A03_A04,0x902B,LCALL,0x6AF9
A04_28.PZU,A03_A04,0x9031,LCALL,0x6C06
A04_28.PZU,A03_A04,0x903A,LJMP,0x66C0
A04_28.PZU,A03_A04,0x904A,LCALL,0x6C07
A04_28.PZU,A03_A04,0x904D,LCALL,0x6B14
A04_28.PZU,A03_A04,0x9056,LCALL,0x6884
A04_28.PZU,A03_A04,0x9059,LJMP,0x90B1
A04_28.PZU,A03_A04,0x9060,LCALL,0x6884
A04_28.PZU,A03_A04,0x9066,LCALL,0x6C06
A04_28.PZU,A03_A04,0x906E,LCALL,0x94CD
A04_28.PZU,A03_A04,0x9074,LCALL,0x66FC
A04_28.PZU,A03_A04,0x907A,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9081,LCALL,0x6868
A04_28.PZU,A03_A04,0x908A,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9095,LCALL,0x6C07
A04_28.PZU,A03_A04,0x90A1,LCALL,0x6C07
A04_28.PZU,A03_A04,0x90A4,LCALL,0x6AF9
A04_28.PZU,A03_A04,0x90AA,LJMP,0x66C0
A04_28.PZU,A03_A04,0x90AE,LJMP,0x60CC
A04_28.PZU,A03_A04,0x90B1,LJMP,0x91D0
A04_28.PZU,A03_A04,0x90B8,LCALL,0x6868
A04_28.PZU,A03_A04,0x90C2,LCALL,0x687B
A04_28.PZU,A03_A04,0x90CD,LCALL,0x6C07
A04_28.PZU,A03_A04,0x90D0,LCALL,0x6B14
A04_28.PZU,A03_A04,0x90DB,LCALL,0x6C07
A04_28.PZU,A03_A04,0x90E9,LCALL,0x6C07
A04_28.PZU,A03_A04,0x90EC,LCALL,0x6B07
A04_28.PZU,A03_A04,0x90F2,LJMP,0x66C0
A04_28.PZU,A03_A04,0x90F9,LCALL,0x6868
A04_28.PZU,A03_A04,0x9103,LCALL,0x687B
A04_28.PZU,A03_A04,0x910E,LCALL,0x6C07
A04_28.PZU,A03_A04,0x9111,LCALL,0x6B14
A04_28.PZU,A03_A04,0x9119,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9122,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9129,LCALL,0x6C06
A04_28.PZU,A03_A04,0x913A,LCALL,0x918A
A04_28.PZU,A03_A04,0x9140,LCALL,0x6C07
A04_28.PZU,A03_A04,0x914A,LCALL,0x6C06
A04_28.PZU,A03_A04,0x9150,LCALL,0x918A
A04_28.PZU,A03_A04,0x9157,LCALL,0x94CD
A04_28.PZU,A03_A04,0x915F,LCALL,0x66FC
A04_28.PZU,A03_A04,0x9167,LJMP,0x66C0
A04_28.PZU,A03_A04,0x916B,LCALL,0x918A
A04_28.PZU,A03_A04,0x9172,LCALL,0x6C07
A04_28.PZU,A03_A04,0x917B,LCALL,0x9D01
A04_28.PZU,A03_A04,0x9183,LJMP,0x66C0
A04_28.PZU,A03_A04,0x9187,LJMP,0x2122
A04_28.PZU,A03_A04,0x91A5,LCALL,0x8FB7
A04_28.PZU,A03_A04,0x91AF,LCALL,0x9DD6
