file,function_addr,code_addr,block_addr,mnemonic,operands,target_addr,fallthrough_addr,xdata_addr,xdata_access_type,call_type,call_target,notes
A03_26.PZU,0x8904,0x89DA,0x89DA,MOV,"DPTR,#0x3299",,0x89DD,,,,,
A03_26.PZU,0x8904,0x89DD,0x89DA,UNK,,,0x89DE,,,,,
A03_26.PZU,0x8904,0x89DE,0x89DA,MOVX,"@DPTR,A",,0x89DF,,,,,
A03_26.PZU,0x8904,0x89DF,0x89DA,RET,,,,,,,,
A03_26.PZU,0x8904,0x89E0,0x89E0,MOV,"DPTR,#0x4FD1",,0x89E3,,,,,
A03_26.PZU,0x8904,0x89E3,0x89E0,LCALL,0x0127,,0x89E6,,,,,
A03_26.PZU,0x8904,0x89E6,0x89E0,MOV,"DPTR,#0x3298",,0x89E9,0x3298,read,,,xdata
A03_26.PZU,0x8904,0x89E9,0x89E0,MOVX,"A,@DPTR",,0x89EA,,,,,
A03_26.PZU,0x8904,0x89EA,0x89E0,SETB,0xE7,,0x89EC,,,,,
A03_26.PZU,0x8904,0x89EC,0x89E0,MOVX,"@DPTR,A",,0x89ED,,,,,
A03_26.PZU,0x8904,0x89ED,0x89E0,RET,,,,,,,,
A04_28.PZU,0x889F,0x889F,0x889F,MOV,"DPTR,#0x4DAC",,0x88A2,0x4DAC,read,,,xdata
A04_28.PZU,0x889F,0x88A2,0x889F,MOVX,"A,@DPTR",,0x88A3,,,,,
A04_28.PZU,0x889F,0x88A3,0x889F,JNZ,+18,0x88B7,0x88A5,,,,,
A04_28.PZU,0x889F,0x88A5,0x88A5,MOV,"DPTR,#0x329C",,0x88A8,0x329C,read,,,xdata
A04_28.PZU,0x889F,0x88A8,0x88A5,MOVX,"A,@DPTR",,0x88A9,,,,,
A04_28.PZU,0x889F,0x88A9,0x88A5,MOV,"0xF0,A",,0x88AB,,,,,
A04_28.PZU,0x889F,0x88AB,0x88A5,JNB,"0xF7,+96",0x890E,0x88AE,,,,,
A04_28.PZU,0x889F,0x88AE,0x88AE,MOV,"DPTR,#0x500C",,0x88B1,0x500C,read,,,xdata
A04_28.PZU,0x889F,0x88B1,0x88AE,MOVX,"A,@DPTR",,0x88B2,,,,,
A04_28.PZU,0x889F,0x88B2,0x88AE,JZ,+4,0x88B8,0x88B4,,,,,
A04_28.PZU,0x889F,0x88B4,0x88B4,JB,"0xE7,+1",0x88B8,0x88B7,,,,,
A04_28.PZU,0x889F,0x88B7,0x88B7,RET,,,,,,,,
A04_28.PZU,0x889F,0x88B8,0x88B8,MOV,"DPTR,#0x4DAC",,0x88BB,,,,,
A04_28.PZU,0x889F,0x88BB,0x88B8,MOV,"A,#0x01",,0x88BD,,,,,
A04_28.PZU,0x889F,0x88BD,0x88B8,MOVX,"@DPTR,A",,0x88BE,,,,,
A04_28.PZU,0x889F,0x88BE,0x88B8,MOV,"DPTR,#0x4DAD",,0x88C1,,,,,
A04_28.PZU,0x889F,0x88C1,0x88B8,MOV,"A,#0x02",,0x88C3,,,,,
A04_28.PZU,0x889F,0x88C3,0x88B8,MOVX,"@DPTR,A",,0x88C4,,,,,
A04_28.PZU,0x889F,0x88C4,0x88B8,MOV,"DPTR,#0x329D",,0x88C7,0x329D,read,,,xdata
A04_28.PZU,0x889F,0x88C7,0x88B8,MOVX,"A,@DPTR",,0x88C8,,,,,
A04_28.PZU,0x889F,0x88C8,0x88B8,JNZ,+42,0x88F4,0x88CA,,,,,
A04_28.PZU,0x889F,0x88CA,0x88CA,MOV,"DPTR,#0x500D",,0x88CD,0x500D,read,,,xdata
A04_28.PZU,0x889F,0x88CD,0x88CA,MOVX,"A,@DPTR",,0x88CE,,,,,
A04_28.PZU,0x889F,0x88CE,0x88CA,CJNE,"A,#0x01,+10",0x88DB,0x88D1,,,,,
A04_28.PZU,0x889F,0x88D1,0x88D1,INC,DPTR,,0x88D2,,,,,
A04_28.PZU,0x889F,0x88D2,0x88D1,MOVX,"A,@DPTR",,0x88D3,,,,,
A04_28.PZU,0x889F,0x88D3,0x88D1,MOV,"DPTR,#0x32A0",,0x88D6,0x32A0,write,,,xdata
