branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,conditional_branch_count,bit_operation_count,output_marker_hits,control_action_hits,event_input_hits,packet_export_hits,related_calls,notes
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x90B6,output_module_dispatcher_candidate,5.270,hypothesis,dispatcher_or_router,55,54,1,32,12,1,0,,33,3,0,1,0,1,0x72AB|0x72AC|0x72C8|0x7316|0x74A4|0x85CF|0x8A58|0x8D10|0x916C|0x9178,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9F46,output_module_dispatcher_candidate,4.650,hypothesis,dispatcher_or_router,13,12,3,12,36,6,0,,7,1,0,1,0,1,0x72C8|0x781A|0x7852|0x7860|0x7893|0x78B8|0x78EB|0x791D|0x8A68|0x8A77,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,output_module_dispatcher_candidate,52.230,medium,dispatcher_or_router,64,63,0,93,13,9,0,(CEK)  ascii_only | .COCT.  ascii_only | 90CYE04                   ascii_only | CT.PACX.  ascii_only | CTAHOBKA  ascii_only,35,7,22,1,0,1,0x6EEA|0x6F8A|0x72AC|0x72C1|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x734F,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x90B6,output_module_dispatcher_candidate,5.270,hypothesis,dispatcher_or_router,55,54,1,32,12,1,0,,33,3,0,1,0,1,0x72AB|0x72AC|0x72C8|0x7316|0x74A4|0x85CF|0x8A58|0x8D10|0x916C|0x9178,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9F46,output_module_dispatcher_candidate,4.650,hypothesis,dispatcher_or_router,13,12,3,12,36,6,0,,7,1,0,1,0,1,0x72C8|0x781A|0x7852|0x7860|0x7893|0x78B8|0x78EB|0x791D|0x8A68|0x8A77,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
A03_A04,A03_26.PZU,0x497A,output_module_dispatcher_candidate,56.300,medium,dispatcher_or_router,65,64,0,90,8,5,0,(CEK)  ascii_only | .BEHT.  ascii_only | .COCT.  ascii_only | A.03 Serovskaq            ascii_only | CT.PACX.  ascii_only,33,478,18,1,657,667,0x6477|0x651B|0x67C3|0x67E8|0x683F|0x6913|0x691A|0x692E|0x693B|0x694E,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4E54; xdata:0x4FCE; xdata:0x4FCF; xdata:0x4FD0; xdata:0x50F9
A03_A04,A03_26.PZU,0xA900,output_module_dispatcher_candidate,17.360,medium,dispatcher_or_router,23,22,1,33,14,0,0,,12,291,0,1,600,667,0x680C|0x6824|0x6834|0x6913|0x6B96|0x6BA2|0x6C7E|0x6D38|0x800B|0x810E,xdata:0x30AE; xdata:0x30AF; xdata:0x328C; xdata:0x329C; xdata:0x4DB7; xdata:0x4E9F; xdata:0x4FCE; xdata:0x4FCF
A03_A04,A03_26.PZU,0x800B,output_module_dispatcher_candidate,16.760,medium,dispatcher_or_router,13,12,1,21,4,2,1,,7,301,0,0,588,666,0x68E6|0x68F9|0x693B|0x69A3|0x69C6|0x6A15|0x6B96|0x6D2E|0x6D83|0x6DC7,module:МАШ (address loop)/module scan worker / table-driven path; xdata:0x3290; xdata:0x3291; xdata:0x3293; xdata:0x3295; xdata:0x329E
A03_A04,A03_26.PZU,0x7339,actuator_feedback_candidate,9.170,low,state_update_worker,3,2,1,1,39,16,2,"""y@y@y@y@y@y@y@y@  ascii_only",1,1,1,1,0,1,0x67C3,xdata:0x30D8; xdata:0x3281; xdata:0x3282; xdata:0x3291; xdata:0x3292; xdata:0x3293; xdata:0x3298; xdata:0x329C
A03_A04,A03_26.PZU,0x7953,relay_output_candidate,6.960,low,dispatcher_or_router,6,5,1,4,22,6,4,"22""""""""""""""""  ascii_only | ~R~X~m~L~N~h~h~h~h~h~h~h~m~h~h~h~h~L~u~  ascii_only",2,0,2,0,0,0,0x67CA|0x67D9|0x69A3|0x79DE,xdata:0x3281; xdata:0x3286; xdata:0x3288; xdata:0x328B; xdata:0x328F; xdata:0x3293; xdata:0x329C; xdata:0x329E
A03_A04,A03_26.PZU,0x8904,output_module_dispatcher_candidate,4.950,hypothesis,dispatcher_or_router,34,33,1,14,15,2,0,,17,6,0,1,0,1,0x896B|0x89DA|0x89E0|0x89EE|0x89FE|0x8A16|0x8A2E|0x8A42,module:МАШ (address loop)/state update + event writeback; xdata:0x3298; xdata:0x3299; xdata:0x329C; xdata:0x329D; xdata:0x4DB6; xdata:0x4FD7; xdata:0x4FD8
A03_A04,A04_28.PZU,0x497A,output_module_dispatcher_candidate,45.450,medium,dispatcher_or_router,69,68,0,99,8,5,0,.BEHT.  ascii_only | .COCT.  ascii_only | A.04 Serovskaq            ascii_only | CT.PACX.  ascii_only | CTAHOBKA  ascii_only,35,10,19,1,0,1,0x62F2|0x6396|0x669B|0x66C0|0x66D4|0x6717|0x67EB|0x67F2|0x6806|0x6813,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4EA9; xdata:0x5003; xdata:0x5004; xdata:0x5005; xdata:0x512E
A03_A04,A04_28.PZU,0x722E,relay_output_candidate,12.370,medium,state_update_worker,3,2,1,1,61,22,6,"""xnxnxnxnxnxnxnxn  ascii_only | 22""""""""""""""""  ascii_only",1,1,2,1,0,1,0x669B,module:МАС (analog)/analog/state compare worker; xdata:0x30D8; xdata:0x3281; xdata:0x3282; xdata:0x3286; xdata:0x3288; xdata:0x328B; xdata:0x328D
A03_A04,A04_28.PZU,0x889F,output_module_dispatcher_candidate,4.950,hypothesis,dispatcher_or_router,34,33,1,14,15,2,0,,17,6,0,1,0,1,0x8906|0x8975|0x897B|0x8989|0x8999|0x89B1|0x89C9|0x89DD,xdata:0x329C; xdata:0x329D; xdata:0x32A0; xdata:0x32A1; xdata:0x4DAC; xdata:0x500C; xdata:0x500D
RTOS_service,ppkp2001 90cye01.PZU,0x9C99,unknown_output_related,22.160,medium,unknown,6,5,6,1,0,0,0,6500-1  ascii_only | 6500-2  ascii_only | B.OTKP.  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only,2,0,11,0,0,0,0x9CA8,
RTOS_service,ppkp2001 90cye01.PZU,0x758B,output_module_dispatcher_candidate,19.400,medium,dispatcher_or_router,341,340,1,127,66,2,1,,155,723,0,1,1297,1171,0x7408|0x75B6|0x75EA|0x762C|0x763E|0x764C|0x7659|0x766A|0x7677|0x7690,module:МАШ (address loop)/rtos poll scheduler / dispatcher; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017
RTOS_service,ppkp2001 90cye01.PZU,0xAB62,output_module_dispatcher_candidate,17.880,medium,dispatcher_or_router,41,40,1,39,11,2,0,,21,876,0,0,2418,2340,0x4228|0x44F1|0x45FF|0x6699|0x6717|0x677E|0x67FE|0x685A|0x68D1|0x758B,xdata:0x6408; xdata:0x6423; xdata:0x6433; xdata:0x66C3; xdata:0x66C6; xdata:0x66EA; xdata:0x75B1; xdata:0x78E2
RTOS_service,ppkp2001 90cye01.PZU,0x53E6,output_module_dispatcher_candidate,16.750,medium,dispatcher_or_router,17,16,2,13,144,36,1,1 2 3 4  ascii_only | 1(10101101  ascii_only | Ver.2013s/ RTOS   ascii_only | p.A.M.  ascii_only,4,2,4,1,0,1,0x4365|0x4755|0x4781|0x49DF|0x4A3B|0x543D|0x90C5|0x90E0|0x9134|0x9143,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6421; xdata:0x6423
RTOS_service,ppkp2001 90cye01.PZU,0x9407,relay_output_candidate,15.580,medium,state_update_worker,12,11,1,2,36,7,0,"""  1 2 3 4 5 6 7 8  ascii_only | <ACTIV>  ascii_only | <ENTER>  ascii_only | <FUNC>  ascii_only | <RESET>  ascii_only",6,0,6,0,0,0,0x9418,xdata:0x0A76; xdata:0x0C82; xdata:0x53A3; xdata:0x6480; xdata:0x66C4; xdata:0x66C6; xdata:0x66C7; xdata:0x66E4
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,output_module_dispatcher_candidate,7.630,low,dispatcher_or_router,154,153,1,70,5,0,1,,77,22,0,1,0,1,0x8F8C|0x8FAF|0x90D1|0x939D|0xA3F0|0xA439|0xA4B9|0xA4CE|0xA4D8|0xA54A,module:МАШ (address loop)/loop dispatcher with service integration; xdata:0x6408; xdata:0x66E8; xdata:0x67C0; xdata:0x67C5
RTOS_service,ppkp2012 a01.PZU,0xA364,unknown_output_related,22.160,medium,unknown,6,5,6,1,0,0,0,6500-1  ascii_only | 6500-2  ascii_only | B.OTKP.  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only,2,0,11,0,0,0,0xA373,
RTOS_service,ppkp2012 a01.PZU,0x5436,output_module_dispatcher_candidate,20.750,medium,dispatcher_or_router,17,16,2,13,144,39,1,1 2 3 4 5 6 7 8  ascii_only | 1(10101101  ascii_only | DJDJDJDJ\}`  ascii_only | U7U=UUU[UCUIUOunkn.  ascii_only | Ver.2013s/ RTOS   ascii_only,4,2,6,1,0,1,0x4365|0x47A6|0x47D2|0x4A42|0x4A9E|0x548D|0x97D9|0x97F4|0x9848|0x9857,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6421; xdata:0x6423
RTOS_service,ppkp2012 a01.PZU,0xAB52,output_module_dispatcher_candidate,9.030,low,dispatcher_or_router,154,153,1,75,5,0,1,,77,32,0,1,0,1,0x95B0|0x95D3|0x97E5|0x9AE5|0xAB45|0xAB8E|0xAC0E|0xAC23|0xAC2D|0xAC9F,xdata:0x6408; xdata:0x66EB; xdata:0x67C3; xdata:0x67CC
RTOS_service,ppkp2012 a01.PZU,0x75F7,output_module_dispatcher_candidate,7.370,low,dispatcher_or_router,262,261,1,91,87,1,1,,109,18,0,1,0,1,0x7408|0x75F0|0x761C|0x766D|0x76AF|0x76BE|0x76CC|0x76D9|0x76EA|0x76F7,xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017; xdata:0x3018
RTOS_service,ppkp2012 a01.PZU,0x8216,output_state_update_candidate,5.500,hypothesis,dispatcher_or_router,17,16,1,6,9,10,0,,10,5,0,0,0,0,0x4A42|0x6669|0x66AD|0x8257|0x825D|0x9818,xdata:0x3000; xdata:0x6419; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x6479; xdata:0x647A; xdata:0x66E3
RTOS_service,ppkp2012 a01.PZU,0x9B4F,output_state_update_candidate,5.280,hypothesis,state_update_worker,12,11,1,2,35,6,0,"""  1 2 3 4 5 6 7 8  ascii_only",6,0,1,0,0,0,0x9B60,xdata:0x0A76; xdata:0x0C82; xdata:0x6477; xdata:0x66BB; xdata:0x66BD; xdata:0x66BE; xdata:0x66DB; xdata:0x66EB
RTOS_service,ppkp2012 a01.PZU,0xB606,output_module_dispatcher_candidate,4.720,hypothesis,dispatcher_or_router,41,40,1,46,11,4,0,,21,6,0,0,0,0,0x4228|0x44FE|0x460C|0x6734|0x6739|0x673E|0x6743|0x67C4|0x6844|0x68BE,xdata:0x6408; xdata:0x6423; xdata:0x6433; xdata:0x6443; xdata:0x6453; xdata:0x66BA; xdata:0x66BD; xdata:0x66ED
RTOS_service,ppkp2012 a01.PZU,0x4658,output_module_dispatcher_candidate,4.700,hypothesis,dispatcher_or_router,41,40,1,11,3,7,0,,20,0,0,0,0,0,0x46F4|0x47A6|0x4840|0x48AB|0x49DA|0x4A8F|0x4A9E|0x4FE9|0x6C28|0x9920,xdata:0x0001; xdata:0x63F5; xdata:0x6420; xdata:0x75AD; xdata:0x7A68; xdata:0xFF89; xdata:0xFF99; xdata:0xFFA9
RTOS_service,ppkp2019 a02.PZU,0xA1F4,unknown_output_related,26.160,medium,unknown,6,5,6,1,0,0,0,.COCT.  ascii_only | BEPb OTKP.  ascii_only | CTAHOBKA  ascii_only | HEHOPMA  ascii_only | HET OCH  ascii_only,2,0,13,0,0,0,0xA203,
RTOS_service,ppkp2019 a02.PZU,0x9826,relay_output_candidate,16.480,medium,state_update_worker,12,11,1,2,39,10,0,"""  1 2 3 4 5 6 7 8  ascii_only | <ACTIV>  ascii_only | <ENTER>  ascii_only | <FUNC>  ascii_only | <RESET>  ascii_only",6,0,6,0,0,0,0x9837,xdata:0x0A76; xdata:0x0C82; xdata:0x654A; xdata:0x6862; xdata:0x6864; xdata:0x6865; xdata:0x6882; xdata:0x6884
RTOS_service,ppkp2019 a02.PZU,0x57DB,output_module_dispatcher_candidate,14.750,medium,dispatcher_or_router,17,16,2,13,119,27,4,1(10101101  ascii_only | Ver.2013s/ RTOS   ascii_only | YRYXYpYvY^YdYjunkn.  ascii_only,4,2,3,1,0,1,0x43AA|0x48C3|0x48EF|0x4C71|0x4CDC|0x5832|0x93B0|0x93CB|0x941F|0x942E,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x64E1; xdata:0x64E3
RTOS_service,ppkp2019 a02.PZU,0x4744,output_module_dispatcher_candidate,6.800,low,dispatcher_or_router,39,38,1,11,3,14,0,,20,0,0,0,0,0,0x47EE|0x48C3|0x495D|0x49C8|0x4BBE|0x4CA6|0x4CDC|0x5388|0x94F7|0xA757,xdata:0x0001; xdata:0x63F5; xdata:0x6420; xdata:0x688B; xdata:0x688C; xdata:0x688D; xdata:0x76AA; xdata:0x777E
RTOS_service,ppkp2019 a02.PZU,0x439D,output_module_dispatcher_candidate,6.560,low,dispatcher_or_router,36,35,7,22,2,14,0,,10,4,0,0,0,0,0x4402|0x440F|0x442E|0x445A|0x4473|0x44B2|0x4BBE|0x92EF|0x9302|0x941F,xdata:0x0001; xdata:0x6408; xdata:0x6523; xdata:0x6889; xdata:0x688E; xdata:0x6892; xdata:0x6893; xdata:0x6894
RTOS_service,ppkp2019 a02.PZU,0xA9C5,output_module_dispatcher_candidate,6.160,low,dispatcher_or_router,106,105,1,51,4,0,1,,53,14,0,1,0,0,0x92EF|0x9312|0x93AA|0x93BC|0xA9B8|0xA9FE|0xAA6D|0xAA82|0xAA8C|0xAAFE,xdata:0x6408; xdata:0x6892; xdata:0x696A
RTOS_service,ppkp2019 a02.PZU,0x7A32,output_module_dispatcher_candidate,5.190,hypothesis,dispatcher_or_router,79,78,1,24,39,2,3,,33,6,0,0,0,1,0x7408|0x7A2B|0x7A58|0x7AA9|0x7AD0|0x7ADE|0x7AEB|0x7AFF|0x7B15|0x7B2B,xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017; xdata:0x3018
RTOS_service,ppkp2019 a02.PZU,0x4CDC,output_module_dispatcher_candidate,5.080,hypothesis,dispatcher_or_router,56,55,2,31,0,0,0,ppkp2019 A.02             ascii_only,26,0,1,0,0,0,0x4DA5|0x4DAD|0x4DC2|0x4DC9|0x92EF|0x9302|0x9312|0x9370|0x93AA,
RTOS_service,ppkp2019 a02.PZU,0x6FC9,output_module_dispatcher_candidate,4.880,hypothesis,dispatcher_or_router,10,9,1,13,20,5,0,PEPBAH  ascii_only,3,1,1,0,0,0,0x54A7|0x7050|0x73F1|0x92EF|0x92FE|0x941F|0x942E|0x9458|0x9489|0x94D0,xdata:0x76A7; xdata:0x76AA; xdata:0x76AB; xdata:0x76AC
