branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,call_hub_score,writer_score,reader_score,table_score,notes
RTOS_service,ppkp2012 a01.PZU,0x75F7,xdata_reader_candidate,98.388,medium,dispatcher_or_router,262,261,1,91,87,1,2,1,0,6.150,49.087,98.388,15.613,reader-like behavior from global features
RTOS_service,ppkp2019 a02.PZU,0x7A32,xdata_reader_candidate,38.100,medium,dispatcher_or_router,79,78,1,24,39,2,3,3,0,2.638,15.625,38.100,6.975,reader-like behavior from global features
RTOS_service,ppkp2012 a01.PZU,0x84FA,xdata_reader_candidate,36.124,medium,state_reader_or_packet_builder,1,0,8,2,49,1,0,0,47,1.408,8.668,36.124,0.264,reader-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0x7EDA,xdata_reader_candidate,31.198,medium,unknown,1,0,4,2,49,2,0,0,47,1.064,8.008,31.198,0.228,reader-like behavior from global features
RTOS_service,ppkp2001 90cye01.PZU,0x758B,table_string_candidate,22.062,medium,dispatcher_or_router,341,340,1,127,66,2,4,1,19,7.500,68.787,99.288,22.062,MOVC + table/string evidence
RTOS_service,ppkp2012 a01.PZU,0xAB52,table_string_candidate,18.988,medium,dispatcher_or_router,154,153,1,75,5,0,13,1,1,6.675,30.787,28.413,18.988,MOVC + table/string evidence
RTOS_service,ppkp2012 a01.PZU,0x75F7,table_string_candidate,15.613,medium,dispatcher_or_router,262,261,1,91,87,1,2,1,0,6.150,49.087,98.388,15.613,MOVC + table/string evidence
RTOS_service,ppkp2001 90cye01.PZU,0xA3FD,table_string_candidate,15.088,medium,dispatcher_or_router,154,153,1,70,5,0,7,1,1,6.487,30.288,27.913,15.088,MOVC + table/string evidence
RTOS_service,ppkp2019 a02.PZU,0xA9C5,table_string_candidate,12.237,medium,dispatcher_or_router,106,105,1,51,4,0,7,1,1,5.775,21.188,19.925,12.237,MOVC + table/string evidence
RTOS_service,ppkp2019 a02.PZU,0x4CDC,table_string_candidate,9.162,medium,dispatcher_or_router,56,55,2,31,0,0,8,0,0,5.637,11.500,9.400,9.162,MOVC + table/string evidence
RTOS_service,ppkp2019 a02.PZU,0x49C8,table_string_candidate,8.037,medium,dispatcher_or_router,48,47,1,34,0,0,5,0,0,4.575,10.600,8.800,8.037,MOVC + table/string evidence
RTOS_service,ppkp2019 a02.PZU,0x6864,table_string_candidate,7.962,medium,dispatcher_or_router,26,25,1,40,2,0,2,1,0,6.487,7.900,8.300,7.962,MOVC + table/string evidence
RTOS_service,ppkp2019 a02.PZU,0xAF92,call_hub_candidate,21.263,medium,dispatcher_or_router,40,39,1,44,8,0,0,0,0,21.263,10.400,14.400,6.912,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2019 a02.PZU,0x92EF,call_hub_candidate,19.114,medium,unknown,1,0,123,0,0,0,0,0,0,19.114,0.114,0.085,0.237,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2012 a01.PZU,0xB606,call_hub_candidate,19.087,medium,dispatcher_or_router,41,40,1,46,11,4,0,0,3,19.087,14.062,17.225,7.212,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2001 90cye01.PZU,0xAB62,call_hub_candidate,16.575,medium,dispatcher_or_router,41,40,1,39,11,2,0,0,3,16.575,11.988,16.525,6.162,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2012 a01.PZU,0x95B0,call_hub_candidate,14.820,medium,unknown,1,0,100,0,0,0,0,0,0,14.820,0.114,0.085,0.237,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2001 90cye01.PZU,0x8F8C,call_hub_candidate,13.822,medium,unknown,1,0,85,0,0,0,0,0,0,13.822,0.114,0.085,0.237,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2019 a02.PZU,0x439D,call_hub_candidate,10.613,medium,dispatcher_or_router,36,35,7,22,2,14,1,0,3,10.613,17.788,8.075,4.137,incoming/outgoing call hub in branch-local graph
RTOS_service,ppkp2012 a01.PZU,0x6C3B,call_hub_candidate,9.000,medium,dispatcher_or_router,36,35,1,32,20,5,0,0,22,9.000,16.163,24.300,5.112,incoming/outgoing call hub in branch-local graph
