branch,file,function_addr,action_candidate,score,confidence,xdata_reads,xdata_writes,related_mode_function,related_packet_function,possible_physical_action,notes
RTOS_service,ppkp2012 a01.PZU,0x4658,unknown_output_action,4.700,hypothesis,3,7,-,0x5A7F,unknown,xdata:0x0001; xdata:0x63F5; xdata:0x6420; xdata:0x75AD; xdata:0x7A68; xdata:0xFF89; xdata:0xFF99; xdata:0xFFA9
RTOS_service,ppkp2019 a02.PZU,0xA1F4,unknown_output_action,26.160,medium,0,0,-,0x5A7F,unknown,
RTOS_service,ppkp2019 a02.PZU,0x9826,unknown_output_action,16.480,medium,39,10,-,0x5A7F,unknown,xdata:0x0A76; xdata:0x0C82; xdata:0x654A; xdata:0x6862; xdata:0x6864; xdata:0x6865; xdata:0x6882; xdata:0x6884
RTOS_service,ppkp2019 a02.PZU,0x57DB,unknown_output_action,14.750,medium,119,27,-,0x5A7F,unknown,xdata:0x6419; xdata:0x641A; xdata:0x641B; xdata:0x641C; xdata:0x641D; xdata:0x641E; xdata:0x64E1; xdata:0x64E3
RTOS_service,ppkp2019 a02.PZU,0x4744,unknown_output_action,6.800,low,3,14,-,0x5A7F,unknown,xdata:0x0001; xdata:0x63F5; xdata:0x6420; xdata:0x688B; xdata:0x688C; xdata:0x688D; xdata:0x76AA; xdata:0x777E
RTOS_service,ppkp2019 a02.PZU,0x439D,unknown_output_action,6.560,low,2,14,-,0x5A7F,unknown,xdata:0x0001; xdata:0x6408; xdata:0x6523; xdata:0x6889; xdata:0x688E; xdata:0x6892; xdata:0x6893; xdata:0x6894
RTOS_service,ppkp2019 a02.PZU,0xA9C5,unknown_output_action,6.160,low,4,0,-,0x5A7F,unknown,xdata:0x6408; xdata:0x6892; xdata:0x696A
RTOS_service,ppkp2019 a02.PZU,0x7A32,unknown_output_action,5.190,hypothesis,39,2,-,0x5A7F,unknown,xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x3014; xdata:0x3015; xdata:0x3016; xdata:0x3017; xdata:0x3018
RTOS_service,ppkp2019 a02.PZU,0x4CDC,unknown_output_action,5.080,hypothesis,0,0,-,0x5A7F,unknown,
RTOS_service,ppkp2019 a02.PZU,0x6FC9,unknown_output_action,4.880,hypothesis,20,5,-,0x5A7F,unknown,xdata:0x76A7; xdata:0x76AA; xdata:0x76AB; xdata:0x76AC
