branch,file,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,conditional_branch_count,bit_operation_count,arithmetic_hits,zone_marker_hits,possible_zone_table_hits,related_calls,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x6DCB,zone_table_candidate,8.240,low,state_update_worker,1,0,1,2,24,9,1,,0,0,0,0,2,0x72C6|0x72D5,xdata:0x30A4; xdata:0x30B2; xdata:0x30C8; xdata:0x30CD; xdata:0x3103; xdata:0x3104; xdata:0x312D; xdata:0x31D1
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x6106,zone_table_candidate,7.920,low,state_reader_or_packet_builder,26,25,2,2,6,0,1,,13,1,8,0,3,0x6167|0x791E,xdata:0x30B2; xdata:0x317B; xdata:0x32B2; xdata:0x4575
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7AB8,unknown_zone_related,7.480,low,unknown,1,0,1,3,1,0,0,,0,1,0,0,6,0x7ADA,xdata:0x311B
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7A3D,sensor_to_zone_mapping_candidate,6.920,low,state_update_worker,13,12,1,3,7,4,0,,8,2,6,0,2,0x76FF|0x7A7A,xdata:0x0001; xdata:0x31D9; xdata:0x31DA; xdata:0x31DB; xdata:0x31DC; xdata:0x32B3
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x72E4,zone_table_candidate,6.780,low,code_table_or_ui_worker,9,8,1,2,0,0,2,,4,1,3,0,5,0x6228,
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4176,sensor_to_zone_mapping_candidate,6.440,low,state_reader_or_packet_builder,7,6,0,1,5,0,0,,5,8,8,0,2,0x41CD,xdata:0x0035; xdata:0x2F22; xdata:0x2F23; xdata:0x2F24; xdata:0x2F25
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x8042,zone_state_update_candidate,5.540,hypothesis,state_update_worker,1,0,1,1,21,6,0,,0,0,3,0,0,0x7709,xdata:0x0001; xdata:0x30B1; xdata:0x30B2; xdata:0x3103; xdata:0x312C; xdata:0x43A1; xdata:0x43A5; xdata:0x43A9
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x4100,unknown_zone_related,4.900,hypothesis,dispatcher_or_router,12,11,0,5,1,0,0,,4,6,19,0,1,0x4112|0x4127|0x415F,xdata:0x0030
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7C97,unknown_zone_related,4.580,hypothesis,dispatcher_or_router,7,6,1,8,16,4,0,,1,0,1,0,0,0x604B|0x61E4|0x61E9|0x61EE|0x7CD3,xdata:0x30B2; xdata:0x30B3; xdata:0x4576; xdata:0x4577; xdata:0x4578; xdata:0x4579; xdata:0x457A
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x497F,sensor_to_zone_mapping_candidate,26.760,medium,dispatcher_or_router,64,63,0,93,13,9,0,(CEK)  ascii_only | .COCT.  ascii_only | 90CYE03                   ascii_only | CT.PACX.  ascii_only | CTAHOBKA  ascii_only,35,7,62,1,11,0x6EEA|0x6F8A|0x72AC|0x72C1|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x734F,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA7FB,zone_table_candidate,17.580,medium,state_reader_or_packet_builder,3,2,1,4,9,0,6,,0,4,1,0,12,0x72AC|0x72DC,xdata:0x3013; xdata:0x315E; xdata:0x32D9; xdata:0x3308; xdata:0x336A; xdata:0x3372; xdata:0x4641
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x90B6,sensor_to_zone_mapping_candidate,15.580,medium,dispatcher_or_router,55,54,1,32,12,1,0,,33,3,19,0,6,0x72AB|0x72AC|0x72C8|0x7316|0x74A4|0x85CF|0x8A58|0x8D10|0x916C|0x9178,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x93F9,zone_table_candidate,15.260,medium,dispatcher_or_router,20,19,1,18,23,6,2,,10,5,15,0,6,0x72AC|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x75C6|0x9AD5|0x9AEC|0x9B0E,module:МАС (analog)/state/evaluation + event generation; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x301D; xdata:0x301F; xdata:0x32A6; xdata:0x32BE
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9D25,sensor_to_zone_mapping_candidate,12.700,medium,dispatcher_or_router,35,34,1,14,15,1,0,,17,6,3,0,5,0x9D85|0x9DF4|0x9DFA|0x9E08|0x9E18|0x9E30|0x9E48|0x9E67,xdata:0x3270; xdata:0x3271; xdata:0x32A5; xdata:0x32E2; xdata:0x4648; xdata:0x4649
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x7EB0,zone_table_candidate,10.780,medium,state_update_worker,1,0,1,2,26,8,2,,0,0,5,0,4,0x9A1B|0x9B35,xdata:0x315C; xdata:0x315D; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x32E5; xdata:0x4498
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x8BE5,zone_table_candidate,10.340,medium,dispatcher_or_router,13,12,1,22,4,2,1,,7,2,5,1,4,0x72AC|0x72BB|0x72C8|0x72DC|0x7316|0x734F|0x74AA|0x74EE|0x7830|0x783F,module:МАШ (address loop)/address-loop branch worker; xdata:0x3173; xdata:0x3174; xdata:0x3179; xdata:0x317B; xdata:0x32A6
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x84FA,zone_table_candidate,9.040,low,state_update_worker,3,2,1,12,40,5,1,,0,1,2,0,3,0x72AB|0x72AC|0x7316|0x79DA|0x8FCE|0x9AEC|0x9F29|0xA759,xdata:0x315C; xdata:0x3195; xdata:0x3196; xdata:0x319F; xdata:0x31A0; xdata:0x326A; xdata:0x326F; xdata:0x32A5
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x8EB8,sensor_to_zone_mapping_candidate,8.840,low,dispatcher_or_router,22,21,1,12,16,4,0,,10,2,10,0,2,0x72AB|0x72AC|0x7316|0x8F88|0x8FC4|0x9E9F|0x9EAC|0xAA91,xdata:0x0001; xdata:0x3177; xdata:0x318D; xdata:0x318E; xdata:0x318F; xdata:0x3190; xdata:0x3191; xdata:0x3192
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x7375,zone_table_candidate,8.300,low,state_reader_or_packet_builder,25,24,2,3,8,0,1,,13,2,7,0,3,0x73E6|0x740B|0xA759,xdata:0x315B; xdata:0x32D9; xdata:0x337B; xdata:0x4469; xdata:0x446A; xdata:0x462D
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9F46,sensor_to_zone_mapping_candidate,7.880,low,dispatcher_or_router,13,12,3,12,36,6,0,,7,1,6,0,1,0x72C8|0x781A|0x7852|0x7860|0x7893|0x78B8|0x78EB|0x791D|0x8A68|0x8A77,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xAA96,sensor_to_zone_mapping_candidate,7.860,low,dispatcher_or_router,23,22,2,30,21,1,0,,11,2,9,0,1,0x7375|0x7B77|0x8A40|0x8A86|0x8BE5|0x8D3B|0x8EB8|0x90B6|0x929E|0x93F9,xdata:0x0A76; xdata:0x0C82; xdata:0x317D; xdata:0x32A5; xdata:0x32C4; xdata:0x32D6; xdata:0x32D7; xdata:0x3308
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x97BB,sensor_to_zone_mapping_candidate,6.920,low,state_update_worker,13,12,1,3,7,4,0,,8,2,6,0,2,0x8FC4|0x97F8,xdata:0x0001; xdata:0x330F; xdata:0x3310; xdata:0x3311; xdata:0x3312; xdata:0x337C
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x8A86,zone_table_candidate,6.780,low,code_table_or_ui_worker,11,10,1,2,0,0,2,,4,1,3,0,5,0x74EE,
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x8D3B,sensor_to_zone_mapping_candidate,6.480,low,dispatcher_or_router,24,23,1,19,3,0,0,,12,2,12,0,2,0x72AB|0x72AC|0x7316|0x8E39|0x8E8A|0x8E9D|0x8FC4|0x9E9F|0x9EAC|0xAA96,xdata:0x0001; xdata:0x32E4
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4176,sensor_to_zone_mapping_candidate,6.440,low,state_reader_or_packet_builder,7,6,0,1,5,0,0,,5,8,8,0,2,0x41CD,xdata:0x0035; xdata:0x2F22; xdata:0x2F23; xdata:0x2F24; xdata:0x2F25
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x98E0,zone_table_candidate,5.540,hypothesis,dispatcher_or_router,17,16,1,7,2,0,1,,8,1,9,0,2,0x72AC|0x8A58|0x9942,xdata:0x317D; xdata:0x740C
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x8288,zone_table_candidate,5.200,hypothesis,state_reader_or_packet_builder,1,0,1,2,9,1,1,,0,0,0,0,2,0x8A68|0x8A77,xdata:0x3179; xdata:0x326F; xdata:0x32A5; xdata:0x740C
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0xA5A9,zone_logic_candidate,5.040,hypothesis,dispatcher_or_router,20,19,1,25,9,0,0,,12,4,8,0,0,0x72AB|0x72AC|0x72C8|0x72F8|0x79DA|0x7A02|0x87DD|0x8D10|0x8FC4|0x8FDB,xdata:0x32D7; xdata:0x32E5; xdata:0x462D; xdata:0x740F
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x4100,unknown_zone_related,4.900,hypothesis,dispatcher_or_router,12,11,0,5,1,0,0,,4,6,19,0,1,0x4112|0x4127|0x415F,xdata:0x0030
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,0x9B73,unknown_zone_related,4.580,hypothesis,dispatcher_or_router,7,6,1,8,16,4,0,,1,0,1,0,0,0x72AC|0x74AA|0x74AF|0x74B4|0x9BAF,xdata:0x3179; xdata:0x317A; xdata:0x7FF0; xdata:0x7FF2; xdata:0x7FF4; xdata:0x7FF6; xdata:0x7FF8
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x497F,sensor_to_zone_mapping_candidate,26.760,medium,dispatcher_or_router,64,63,0,93,13,9,0,(CEK)  ascii_only | .COCT.  ascii_only | 90CYE04                   ascii_only | CT.PACX.  ascii_only | CTAHOBKA  ascii_only,35,7,62,1,11,0x6EEA|0x6F8A|0x72AC|0x72C1|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x734F,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x32E9; xdata:0x32ED; xdata:0x3313; xdata:0x4457; xdata:0x4492
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA7FB,zone_table_candidate,17.580,medium,state_reader_or_packet_builder,3,2,1,4,9,0,6,,0,4,1,0,12,0x72AC|0x72DC,xdata:0x3013; xdata:0x315E; xdata:0x32D9; xdata:0x3308; xdata:0x336A; xdata:0x3372; xdata:0x4641
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x90B6,sensor_to_zone_mapping_candidate,15.580,medium,dispatcher_or_router,55,54,1,32,12,1,0,,33,3,19,0,6,0x72AB|0x72AC|0x72C8|0x7316|0x74A4|0x85CF|0x8A58|0x8D10|0x916C|0x9178,xdata:0x3158; xdata:0x3159; xdata:0x315A; xdata:0x3176; xdata:0x317D; xdata:0x740C; xdata:0x740F
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x93F9,zone_table_candidate,15.260,medium,dispatcher_or_router,20,19,1,18,23,6,2,,10,5,15,0,6,0x72AC|0x72C8|0x72D1|0x72DC|0x72E4|0x7316|0x75C6|0x9AD5|0x9AEC|0x9B0E,module:МАС (analog)/state/evaluation + event generation; xdata:0x3010; xdata:0x3012; xdata:0x3013; xdata:0x301D; xdata:0x301F; xdata:0x32A6; xdata:0x32BE
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9D25,sensor_to_zone_mapping_candidate,12.700,medium,dispatcher_or_router,35,34,1,14,15,1,0,,17,6,3,0,5,0x9D85|0x9DF4|0x9DFA|0x9E08|0x9E18|0x9E30|0x9E48|0x9E67,xdata:0x3270; xdata:0x3271; xdata:0x32A5; xdata:0x32E2; xdata:0x4648; xdata:0x4649
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x7EB0,zone_table_candidate,10.780,medium,state_update_worker,1,0,1,2,26,8,2,,0,0,5,0,4,0x9A1B|0x9B35,xdata:0x315C; xdata:0x315D; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x32E5; xdata:0x4498
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x8BE5,zone_table_candidate,10.340,medium,dispatcher_or_router,13,12,1,22,4,2,1,,7,2,5,1,4,0x72AC|0x72BB|0x72C8|0x72DC|0x7316|0x734F|0x74AA|0x74EE|0x7830|0x783F,module:МАШ (address loop)/address-loop branch worker; xdata:0x3173; xdata:0x3174; xdata:0x3179; xdata:0x317B; xdata:0x32A6
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x84FA,zone_table_candidate,9.040,low,state_update_worker,3,2,1,12,40,5,1,,0,1,2,0,3,0x72AB|0x72AC|0x7316|0x79DA|0x8FCE|0x9AEC|0x9F29|0xA759,xdata:0x315C; xdata:0x3195; xdata:0x3196; xdata:0x319F; xdata:0x31A0; xdata:0x326A; xdata:0x326F; xdata:0x32A5
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x8EB8,sensor_to_zone_mapping_candidate,8.840,low,dispatcher_or_router,22,21,1,12,16,4,0,,10,2,10,0,2,0x72AB|0x72AC|0x7316|0x8F88|0x8FC4|0x9E9F|0x9EAC|0xAA91,xdata:0x0001; xdata:0x3177; xdata:0x318D; xdata:0x318E; xdata:0x318F; xdata:0x3190; xdata:0x3191; xdata:0x3192
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x7375,zone_table_candidate,8.300,low,state_reader_or_packet_builder,25,24,2,3,8,0,1,,13,2,7,0,3,0x73E6|0x740B|0xA759,xdata:0x315B; xdata:0x32D9; xdata:0x337B; xdata:0x4469; xdata:0x446A; xdata:0x462D
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9F46,sensor_to_zone_mapping_candidate,7.880,low,dispatcher_or_router,13,12,3,12,36,6,0,,7,1,6,0,1,0x72C8|0x781A|0x7852|0x7860|0x7893|0x78B8|0x78EB|0x791D|0x8A68|0x8A77,xdata:0x0001; xdata:0x3178; xdata:0x3179; xdata:0x32A5; xdata:0x32D7; xdata:0x4494; xdata:0x4498; xdata:0x449C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xAA96,sensor_to_zone_mapping_candidate,7.860,low,dispatcher_or_router,23,22,2,30,21,1,0,,11,2,9,0,1,0x7375|0x7B77|0x8A40|0x8A86|0x8BE5|0x8D3B|0x8EB8|0x90B6|0x929E|0x93F9,xdata:0x0A76; xdata:0x0C82; xdata:0x317D; xdata:0x32A5; xdata:0x32C4; xdata:0x32D6; xdata:0x32D7; xdata:0x3308
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x97BB,sensor_to_zone_mapping_candidate,6.920,low,state_update_worker,13,12,1,3,7,4,0,,8,2,6,0,2,0x8FC4|0x97F8,xdata:0x0001; xdata:0x330F; xdata:0x3310; xdata:0x3311; xdata:0x3312; xdata:0x337C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x8A86,zone_table_candidate,6.780,low,code_table_or_ui_worker,11,10,1,2,0,0,2,,4,1,3,0,5,0x74EE,
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x8D3B,sensor_to_zone_mapping_candidate,6.480,low,dispatcher_or_router,24,23,1,19,3,0,0,,12,2,12,0,2,0x72AB|0x72AC|0x7316|0x8E39|0x8E8A|0x8E9D|0x8FC4|0x9E9F|0x9EAC|0xAA96,xdata:0x0001; xdata:0x32E4
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4176,sensor_to_zone_mapping_candidate,6.440,low,state_reader_or_packet_builder,7,6,0,1,5,0,0,,5,8,8,0,2,0x41CD,xdata:0x0035; xdata:0x2F22; xdata:0x2F23; xdata:0x2F24; xdata:0x2F25
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x98E0,zone_table_candidate,5.540,hypothesis,dispatcher_or_router,17,16,1,7,2,0,1,,8,1,9,0,2,0x72AC|0x8A58|0x9942,xdata:0x317D; xdata:0x740C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x8288,zone_table_candidate,5.200,hypothesis,state_reader_or_packet_builder,1,0,1,2,9,1,1,,0,0,0,0,2,0x8A68|0x8A77,xdata:0x3179; xdata:0x326F; xdata:0x32A5; xdata:0x740C
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0xA5A9,zone_logic_candidate,5.040,hypothesis,dispatcher_or_router,20,19,1,25,9,0,0,,12,4,8,0,0,0x72AB|0x72AC|0x72C8|0x72F8|0x79DA|0x7A02|0x87DD|0x8D10|0x8FC4|0x8FDB,xdata:0x32D7; xdata:0x32E5; xdata:0x462D; xdata:0x740F
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x4100,unknown_zone_related,4.900,hypothesis,dispatcher_or_router,12,11,0,5,1,0,0,,4,6,19,0,1,0x4112|0x4127|0x415F,xdata:0x0030
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,0x9B73,unknown_zone_related,4.580,hypothesis,dispatcher_or_router,7,6,1,8,16,4,0,,1,0,1,0,0,0x72AC|0x74AA|0x74AF|0x74B4|0x9BAF,xdata:0x3179; xdata:0x317A; xdata:0x7FF0; xdata:0x7FF2; xdata:0x7FF4; xdata:0x7FF6; xdata:0x7FF8
A03_A04,A03_26.PZU,0x497A,sensor_to_zone_mapping_candidate,28.080,medium,dispatcher_or_router,65,64,0,90,8,5,0,(CEK)  ascii_only | .BEHT.  ascii_only | .COCT.  ascii_only | A.03 Serovskaq            ascii_only | CT.PACX.  ascii_only,33,478,60,1,11,0x6477|0x651B|0x67C3|0x67E8|0x683F|0x6913|0x691A|0x692E|0x693B|0x694E,module:МАШ (address loop)/main dispatcher + poll scheduler; xdata:0x0035; xdata:0x3010; xdata:0x4E54; xdata:0x4FCE; xdata:0x4FCF; xdata:0x4FD0; xdata:0x50F9
A03_A04,A03_26.PZU,0x8904,sensor_to_zone_mapping_candidate,16.060,medium,dispatcher_or_router,34,33,1,14,15,2,0,,17,6,3,1,6,0x896B|0x89DA|0x89E0|0x89EE|0x89FE|0x8A16|0x8A2E|0x8A42,module:МАШ (address loop)/state update + event writeback; xdata:0x3298; xdata:0x3299; xdata:0x329C; xdata:0x329D; xdata:0x4DB6; xdata:0x4FD7; xdata:0x4FD8
