file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2001 90cye01.PZU,true,ok,0x9179,xdata_reader_candidate,4,unknown,unknown,5,4,2,2,1,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x91A5,xdata_reader_candidate,4,unknown,unknown,1,0,3,1,2,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xAB01,xdata_reader_candidate,4,unknown,unknown,6,5,2,1,1,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x4641,xdata_reader_candidate,3,unknown,unknown,1,0,1,1,0,0,0,0,0,0,0,0,2,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x4755,xdata_reader_candidate,3,unknown,unknown,4,3,2,3,0,0,0,0,0,0,0,0,4,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x4781,xdata_reader_candidate,3,unknown,unknown,3,2,1,3,0,0,0,0,0,0,0,0,4,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x47D2,xdata_reader_candidate,3,unknown,unknown,3,2,3,1,0,0,0,0,0,0,0,0,4,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x4A2C,xdata_reader_candidate,3,unknown,unknown,1,0,1,1,0,0,0,0,0,0,0,0,3,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x67F4,xdata_reader_candidate,3,unknown,unknown,1,0,2,0,1,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x919E,xdata_writer_candidate,3,unknown,unknown,1,0,2,0,0,1,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x91E5,xdata_reader_candidate,3,unknown,unknown,1,0,2,1,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x91EB,xdata_reader_candidate,3,unknown,unknown,3,2,1,2,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x92C5,xdata_reader_candidate,3,unknown,unknown,7,6,1,1,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9C72,xdata_reader_candidate,3,unknown,unknown,1,0,1,1,0,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x9C99,xdata_reader_candidate,3,unknown,unknown,6,5,6,1,0,0,0,0,0,0,0,0,2,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xAB19,xdata_reader_candidate,3,unknown,unknown,7,6,1,1,0,0,0,0,0,0,0,0,4,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xB395,xdata_reader_candidate,3,unknown,unknown,3,2,0,0,1,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xB3BB,xdata_reader_candidate,3,unknown,unknown,3,2,0,0,1,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0xB3E1,xdata_reader_candidate,3,unknown,unknown,3,2,0,0,1,0,0,0,0,0,0,0,1,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x498F,xdata_reader_candidate,2,unknown,unknown,1,0,2,2,0,0,0,0,0,0,0,0,0,no_rtos_cluster_hits
ppkp2001 90cye01.PZU,true,ok,0x49DF,xdata_reader_candidate,2,unknown,unknown,2,1,2,0,0,0,0,0,0,0,0,0,2,no_rtos_cluster_hits
