file,branch,code_addr,opcode_hex,mnemonic,operands,length,target_addr,fallthrough_addr,is_reachable,source,confidence
90CYE03_19_DKS.PZU,90CYE_DKS,0x772E,E8,MOV,"A,R0",1,,0x772F,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x772F,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x7732,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7732,74 FF,MOV,"A,#0xFF",2,,0x7734,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7734,F0,MOVX,"@DPTR,A",1,,0x7735,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x7735,02 77 92,LJMP,0x7792,3,0x7792,,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EF2,90 36 F6,MOV,"DPTR,#0x36F6",3,,0x6EF5,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EF5,E0,MOVX,"A,@DPTR",1,,0x6EF6,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EF6,90 31 BF,MOV,"DPTR,#0x31BF",3,,0x6EF9,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EF9,12 5A 7F,LCALL,0x5A7F,3,0x5A7F,0x6EFC,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EFC,E0,MOVX,"A,@DPTR",1,,0x6EFD,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EFD,70 5E,JNZ,+94,2,0x6F5D,0x6EFF,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6EFF,90 31 A2,MOV,"DPTR,#0x31A2",3,,0x6F02,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F02,E0,MOVX,"A,@DPTR",1,,0x6F03,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F03,20 E0 58,JB,"0xE0,+88",3,0x6F5E,0x6F06,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F06,90 31 A7,MOV,"DPTR,#0x31A7",3,,0x6F09,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F09,E0,MOVX,"A,@DPTR",1,,0x6F0A,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F0A,FA,MOV,"R2,A",1,,0x6F0B,True,flow,high
90CYE03_19_DKS.PZU,90CYE_DKS,0x6F0B,90 31 A1,MOV,"DPTR,#0x31A1",3,,0x6F0E,True,flow,high
