file,branch,code_addr,dptr_addr,target_addr,evidence_type,confidence
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6F16,0x31DD,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6FE5,0x522A,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x6FEE,0x52CE,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7018,0x8A56,0x8A42,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x703E,0x3292,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x705A,0x3292,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7082,0x3242,0x604B,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x70DD,0x43AC,0x7B6D,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x70EB,0x7202,0x7C72,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x70F9,0x7204,0x7C72,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x711B,0x717A,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7121,0x7156,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7133,0x53C5,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7139,0x5397,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x715C,0x4447,0x7FC5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x71AC,0x58A0,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x71C4,0x721B,0x72D5,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x71CA,0x71F8,0x72C6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x71DA,0x53C5,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x71E0,0x5409,0x655F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x7212,0x6315,0x6496,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x745F,0x31DD,0x6067,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x748E,0x732A,0x64B6,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x749F,0x46A0,0x7C2F,probable_pointer_argument,medium
90CYE02_27 DKS.PZU,90CYE_shifted_DKS,0x74A5,0x4343,0x7BD2,probable_pointer_argument,medium
